timestamp_ms,id,signal_name,value
2705,11,RPM,0.0000
2716,12,CLT1,69.6000
2717,14,MAP,99.8000
2717,15,MAT,65.0000
2721,104,Yaw,-150.3685
2721,105,Pitch,2.8239
2721,106,Roll,0.6836
2721,113,GyroX,0.0006
2721,114,GyroY,-0.0006
2721,115,GyroZ,-0.0078
2721,101,AccelX,0.4458
2721,102,AccelY,-0.1369
2721,103,AccelZ,-9.7968
2727,18,BatV,13.7000
2737,13,OilTemp,69.9000
2737,16,OilPres,-0.3000
2738,17,AFR,784.0000
2741,104,Yaw,-150.3785
2741,105,Pitch,2.8215
2741,106,Roll,0.6854
2741,113,GyroX,-0.0002
2741,114,GyroY,0.0001
2741,115,GyroZ,-0.0087
2741,101,AccelX,0.4770
2741,102,AccelY,-0.1349
2741,103,AccelZ,-9.8348
2747,20,APPS1,1700.0000
2747,21,SIM-IN2,13.0000
2748,22,SIM-IN3,25.0000
2748,23,SIM-IN4,16.0000
2761,104,Yaw,-150.3888
2761,105,Pitch,2.8217
2761,106,Roll,0.6858
2761,113,GyroX,0.0022
2761,114,GyroY,-0.0002
2761,115,GyroZ,-0.0078
2761,101,AccelX,0.4742
2761,102,AccelY,-0.1213
2761,103,AccelZ,-9.8264
2767,11,RPM,0.0000
2781,104,Yaw,-150.3907
2781,105,Pitch,2.8223
2781,106,Roll,0.6836
2781,113,GyroX,0.0001
2781,114,GyroY,-0.0007
2781,115,GyroZ,-0.0073
2781,101,AccelX,0.5072
2781,102,AccelY,-0.1286
2781,103,AccelZ,-9.8372
2787,33,SIM-IN17,21.0000
2787,34,SIM-IN18,6.0000
2788,35,SIM-IN19,3151.0000
2788,36,SIM-IN20,2957.0000
2801,104,Yaw,-150.3914
2801,105,Pitch,2.8230
2801,106,Roll,0.6819
2801,113,GyroX,-0.0008
2801,114,GyroY,-0.0000
2801,115,GyroZ,-0.0069
2801,101,AccelX,0.4535
2801,102,AccelY,-0.1085
2801,103,AccelZ,-9.7673
2808,20,APPS1,1709.0000
2808,21,SIM-IN2,13.0000
2808,22,SIM-IN3,24.0000
2808,23,SIM-IN4,15.0000
2818,13,OilTemp,69.9000
2818,16,OilPres,-0.3000
2818,17,AFR,785.1000
2821,104,Yaw,-150.3976
2821,105,Pitch,2.8209
2821,106,Roll,0.6851
2821,113,GyroX,0.0003
2821,114,GyroY,-0.0002
2821,115,GyroZ,-0.0071
2821,101,AccelX,0.4825
2821,102,AccelY,-0.1197
2821,103,AccelZ,-9.8027
2841,104,Yaw,-150.4083
2841,105,Pitch,2.8186
