timestamp_ms,AFR,APPS1,AccelX,AccelY,AccelZ,BS2,BatV,CLT1,GyroX,GyroY,GyroZ,MAP,MAT,OilPres,OilTemp,Pitch,RPM,Roll,SIM-IN14,SIM-IN15,SIM-IN16,SIM-IN17,SIM-IN18,SIM-IN19,SIM-IN2,SIM-IN20,SIM-IN21,SIM-IN3,SIM-IN4,SIM-IN5,SIM-IN6,SIM-IN7,SIM-IN8,Yaw
2743,785.2999877929688,1707.0,-0.019316282123327255,-0.1655859351158142,-9.858611106872559,11.0,13.0,75.0999984741211,0.0006711725145578384,0.0009012231603264809,-0.008927937597036362,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.22328360378742218,0.0,0.9463977813720703,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.33157348632812
2753,785.2999877929688,1707.0,-0.03921863064169884,-0.15800781548023224,-9.827346324920654,11.0,13.0,75.0999984741211,-8.789822459220886e-05,3.0902447178959846e-05,-0.008734213188290596,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.22279322892427444,0.0,0.945519208908081,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.3310546875
2763,785.2999877929688,1707.0,-0.05912097916007042,-0.15042969584465027,-9.79608154296875,11.0,13.0,75.0999984741211,-0.0008469689637422562,-0.0008394182659685612,-0.00854048877954483,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.2223028540611267,0.0,0.9446406364440918,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.33053588867188
2773,785.2999877929688,1707.0,-0.046609360724687576,-0.1613546460866928,-9.813904285430908,11.0,13.0,75.0999984741211,-0.0007370561361312866,-0.0004453059518709779,-0.00883585773408413,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.2229301780462265,0.0,0.9458205997943878,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.33035278320312
2783,785.2999877929688,1707.0,-0.03409774228930473,-0.17227959632873535,-9.831727027893066,11.0,13.0,75.0999984741211,-0.0006271433085203171,-5.1193637773394585e-05,-0.009131226688623428,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.2235575020313263,0.0,0.9470005631446838,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.33016967773438
2793,785.2999877929688,1707.0,-0.04308709688484669,-0.16554509103298187,-9.840121746063232,11.0,13.0,75.0999984741211,-0.0003571799024939537,0.00026574358344078064,-0.009633474983274937,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.22288081794977188,0.0,0.9477491676807404,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.32847595214844
2803,785.2999877929688,1707.0,-0.05207645148038864,-0.1588105857372284,-9.848516464233398,11.0,13.0,75.0999984741211,-8.721649646759033e-05,0.0005826808046549559,-0.010135723277926445,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.22220413386821747,0.0,0.9484977722167969,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.3267822265625
2813,785.2999877929688,1707.0,-0.04681778326630592,-0.1797800362110138,-9.834784507751465,11.0,13.0,75.0999984741211,-0.0003621792420744896,-0.0001221338752657175,-0.008762119337916374,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.22289694100618362,0.0,0.9501069784164429,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.32921600341797
2823,785.2999877929688,1707.0,-0.041559115052223206,-0.2007494866847992,-9.821052551269531,11.0,13.0,75.0999984741211,-0.0006371419876813889,-0.0008269485551863909,-0.007388515397906303,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.22358974814414978,0.0,0.9517161846160889,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.33164978027344
2833,785.2999877929688,1707.0,-0.035778675228357315,-0.18322116881608963,-9.831009864807129,11.0,13.0,75.0999984741211,-0.0008246628567576408,-0.0003490750677883625,-0.007676726207137108,99.80000305175781,73.69999694824219,-0.4000000059604645,69.9000015258789,-0.22311508655548096,0.0,0.9523746371269226,17.0,15.0,417.0,15.0,8.0,0.0,13.0,2893.0,2220.0,14.0,15.0,,,,,150.3313751220703
