timestamp_ms,id,signal_name,value
2708,104,Yaw,154.2878
2708,105,Pitch,4.8248
2708,106,Roll,0.8897
2709,113,GyroX,0.0013
2709,114,GyroY,0.0011
2709,115,GyroZ,-0.0076
2709,101,AccelX,0.8016
2709,102,AccelY,-0.1190
2709,103,AccelZ,-9.7749
2718,104,Yaw,154.2825
2718,105,Pitch,4.8232
2718,106,Roll,0.8887
2718,113,GyroX,0.0011
2718,114,GyroY,-0.0008
2718,115,GyroZ,-0.0089
2718,101,AccelX,0.8491
2718,102,AccelY,-0.1345
2718,103,AccelZ,-9.7897
2724,15,TPS,0.3000
2724,24,BatV,12.8000
2738,104,Yaw,154.2739
2738,105,Pitch,4.8204
2738,106,Roll,0.8853
2738,113,GyroX,0.0018
2738,114,GyroY,0.0002
2738,115,GyroZ,-0.0104
2738,101,AccelX,0.8020
2738,102,AccelY,-0.1320
2738,103,AccelZ,-9.7984
2744,13,Gear,0.0000
2758,104,Yaw,154.2706
2758,105,Pitch,4.8193
2758,106,Roll,0.8836
2758,113,GyroX,0.0013
2758,114,GyroY,-0.0009
2758,115,GyroZ,-0.0090
2758,101,AccelX,0.7995
2758,102,AccelY,-0.1491
2758,103,AccelZ,-9.8106
2764,13,Gear,0.0000
2778,104,Yaw,154.2711
2778,105,Pitch,4.8190
2779,106,Roll,0.8868
2779,113,GyroX,0.0015
2779,114,GyroY,-0.0000
2779,115,GyroZ,-0.0086
2779,101,AccelX,0.8135
2779,102,AccelY,-0.1633
2779,103,AccelZ,-9.7946
2784,13,Gear,0.0000
2798,104,Yaw,154.2620
2798,105,Pitch,4.8160
2799,106,Roll,0.8919
2799,113,GyroX,0.0022
2799,114,GyroY,0.0006
2799,115,GyroZ,-0.0076
2799,101,AccelX,0.8230
2799,102,AccelY,-0.1731
2799,103,AccelZ,-9.8345
2804,13,Gear,0.0000
2814,16,CLT1,76.4000
2814,19,MAP,99.8000
2814,20,MAT,74.9000
2818,104,Yaw,154.2655
2818,105,Pitch,4.8149
2818,106,Roll,0.8895
2818,113,GyroX,0.0008
2818,114,GyroY,-0.0008
2818,115,GyroZ,-0.0098
2818,101,AccelX,0.8311
2818,102,AccelY,-0.1513
2818,103,AccelZ,-9.7945
2824,16,CLT1,76.4000
2824,19,MAP,99.8000
2824,20,MAT,74.9000
2834,16,CLT1,76.4000
2834,19,MAP,99.8000
2834,20,MAT,74.9000
2838,104,Yaw,154.2641
2838,105,Pitch,4.8166
2838,106,Roll,0.8858
2838,113,GyroX,0.0014
2838,114,GyroY,-0.0019
2838,115,GyroZ,-0.0085
2838,101,AccelX,0.8265
2838,102,AccelY,-0.1298
2838,103,AccelZ,-9.7915
2854,12,VSS,0.0000
2858,104,Yaw,154.2625
2858,105,Pitch,4.8177
2858,106,Roll,0.8829
2858,113,GyroX,0.0018
2858,114,GyroY,0.0008
2858,115,GyroZ,-0.0087
2858,101,AccelX,0.8276
2858,102,AccelY,-0.1433
2858,103,AccelZ,-9.7958
2864,12,VSS,0.0000
2874,12,VSS,0.0000
2878,104,Yaw,154.2600
2878,105,Pitch,4.8200
2878,106,Roll,0.8855
2878,113,GyroX,0.0013
2878,114,GyroY,0.0002
2878,115,GyroZ,-0.0078
2878,101,AccelX,0.8250
2878,102,AccelY,-0.1661
