Timestamp,Event,Event Time,Elapsed Time
16:30:33.544,Gate Trigger,,0.688
16:30:34.285,Gate Trigger,,0.736
16:30:37.947,Gate Trigger,,1.482
16:30:38.581,Gate Trigger,,0.633
16:30:43.048,Marker,,gfdhdhfg
