log_number,start_time,end_time,telemetry_file,events_file,notes
1,2025-09-08T13:30:58.813851,2025-09-08T13:31:11.715278,log1_telemetry.csv,log1_events.csv,
2,2025-09-11T19:45:05.367934,2025-09-11T20:14:48.514142,log2_telemetry.csv,log2_events.csv,
3,2025-09-11T20:35:59.214559,2025-09-11T20:39:57.726149,log3_telemetry.csv,log3_events.csv,
4,2025-09-11T20:40:34.472099,2025-09-11T21:34:12.290135,log4_telemetry.csv,log4_events.csv,
5,2025-09-11T21:45:39.028181,2025-09-11T21:53:24.072548,log5_telemetry.csv,log5_events.csv,
6,2025-09-11T21:53:29.977539,2025-09-11T22:03:08.791881,log6_telemetry.csv,log6_events.csv,
7,2025-09-20T21:31:41.615060,2025-09-20T21:31:41.791965,log7_telemetry.csv,log7_events.csv,
8,2025-09-20T21:31:41.983589,,log8_telemetry.csv,log8_events.csv,
9,2025-09-20T21:39:29.608002,,log9_telemetry.csv,log9_events.csv,
10,2025-09-25T20:42:35.594380,2025-09-25T20:42:36.096730,log10_telemetry.csv,log10_events.csv,
11,2025-09-26T12:00:24.749909,2025-09-26T12:00:25.675032,log11_telemetry.csv,log11_events.csv,
12,2025-11-02T21:36:17.771891,2025-11-02T21:36:22.228145,log12_telemetry.csv,log12_events.csv,
13,2025-11-02T21:44:47.429258,2025-11-02T21:44:51.723937,log13_telemetry.csv,log13_events.csv,
14,2025-11-03T13:21:40.107166,2025-11-03T13:21:45.089558,log14_telemetry.csv,log14_events.csv,
15,2025-11-03T13:28:40.687607,2025-11-03T13:28:44.583591,log15_telemetry.csv,log15_events.csv,
16,2025-11-03T13:31:20.527981,2025-11-03T13:31:22.198898,log16_telemetry.csv,log16_events.csv,
17,2025-11-03T15:18:19.034581,2025-11-03T15:18:25.563295,log17_telemetry.csv,log17_events.csv,
