timestamp,RPM,MPH,Gear,Throttle,Brake
2025-09-11T20:35:59.248803,3210.0,0.7,1.0,,
2025-09-11T20:35:59.266764,3218.0,0.7,1.0,,
2025-09-11T20:35:59.272399,3185.0,0.7,1.0,,
2025-09-11T20:35:59.293788,3166.0,0.4,1.0,,
2025-09-11T20:35:59.311725,3183.0,0.4,1.0,,
2025-09-11T20:35:59.332010,3211.0,0.4,1.0,,
2025-09-11T20:35:59.357142,3185.0,0.4,1.0,,
2025-09-11T20:35:59.394444,3181.0,0.4,1.0,,
2025-09-11T20:35:59.394486,nan,0.4,1.0,,
2025-09-11T20:35:59.411258,nan,0.4,nan,,
2025-09-11T20:35:59.431709,3165.0,0.4,1.0,,
2025-09-11T20:35:59.450675,3195.0,0.4,1.0,,
2025-09-11T20:35:59.516887,nan,0.4,1.0,,
2025-09-11T20:35:59.516936,3221.0,0.4,nan,,
2025-09-11T20:35:59.516954,nan,nan,nan,,
2025-09-11T20:35:59.534240,nan,0.4,1.0,,
2025-09-11T20:35:59.553186,nan,nan,1.0,,
2025-09-11T20:35:59.571871,nan,0.4,1.0,,
2025-09-11T20:35:59.596803,nan,0.4,1.0,,
2025-09-11T20:35:59.621376,3196.0,0.4,1.0,,
2025-09-11T20:35:59.636284,3199.0,nan,1.0,,
2025-09-11T20:35:59.653932,3183.0,0.4,1.0,,
2025-09-11T20:35:59.671735,3193.0,0.4,1.0,,
2025-09-11T20:35:59.694345,3198.0,0.4,1.0,,
2025-09-11T20:35:59.711430,3205.0,0.4,1.0,,
2025-09-11T20:35:59.747827,3190.0,0.4,1.0,,
2025-09-11T20:35:59.764975,3219.0,0.4,1.0,,
2025-09-11T20:35:59.774194,3215.0,0.4,1.0,,
2025-09-11T20:35:59.791912,3172.0,0.4,nan,,
2025-09-11T20:35:59.811998,nan,0.4,1.0,,
2025-09-11T20:35:59.831504,3226.0,0.4,1.0,,
2025-09-11T20:35:59.859337,3213.0,0.4,1.0,,
2025-09-11T20:35:59.874112,3195.0,0.4,1.0,,
2025-09-11T20:35:59.891422,nan,0.4,1.0,,
2025-09-11T20:35:59.920280,nan,0.4,nan,,
2025-09-11T20:35:59.931788,3217.0,0.4,1.0,,
2025-09-11T20:35:59.951960,3258.0,0.4,1.0,,
2025-09-11T20:35:59.975566,3267.0,0.4,1.0,,
2025-09-11T20:35:59.999208,3254.0,0.4,1.0,,
2025-09-11T20:36:00.016241,3265.0,nan,1.0,,
2025-09-11T20:36:00.032155,3277.0,0.4,1.0,,
2025-09-11T20:36:00.051820,3274.0,0.4,1.0,,
2025-09-11T20:36:00.071834,3276.0,0.4,1.0,,
2025-09-11T20:36:00.092112,3312.0,nan,1.0,,
2025-09-11T20:36:00.121241,nan,0.4,1.0,,
2025-09-11T20:36:00.142125,3293.0,0.4,1.0,,
2025-09-11T20:36:00.182824,3311.0,0.4,1.0,,
2025-09-11T20:36:00.182885,nan,0.4,1.0,,
2025-09-11T20:36:00.191949,3324.0,0.4,1.0,,
2025-09-11T20:36:00.212559,3384.0,0.0,0.0,,
2025-09-11T20:36:00.265671,nan,0.0,0.0,,
2025-09-11T20:36:00.265733,3442.0,0.0,0.0,,
2025-09-11T20:36:00.271469,3479.0,0.0,0.0,,
2025-09-11T20:36:00.292902,3595.0,nan,0.0,,
2025-09-11T20:36:00.311507,nan,0.0,0.0,,
2025-09-11T20:36:00.332039,3687.0,0.0,0.0,,
2025-09-11T20:36:00.357550,3789.0,0.0,0.0,,
2025-09-11T20:36:00.371443,nan,0.0,0.0,,
2025-09-11T20:36:00.391201,3894.0,0.0,0.0,,
2025-09-11T20:36:00.411417,nan,0.0,nan,,
2025-09-11T20:36:00.436278,nan,0.0,0.0,,
2025-09-11T20:36:00.452929,4028.0,0.0,0.0,,
2025-09-11T20:36:00.478004,4011.0,0.0,0.0,,
2025-09-11T20:36:00.503651,4040.0,0.0,0.0,,
2025-09-11T20:36:00.515356,4100.0,nan,0.0,,
2025-09-11T20:36:00.533256,4090.0,0.0,0.0,,
2025-09-11T20:36:00.553227,4050.0,0.0,0.0,,
2025-09-11T20:36:00.571539,4120.0,0.0,0.0,,
2025-09-11T20:36:00.591226,4183.0,0.0,0.0,,
2025-09-11T20:36:00.623381,4172.0,0.0,0.0,,
2025-09-11T20:36:00.635578,4178.0,0.0,0.0,,
2025-09-11T20:36:00.652695,4249.0,0.0,nan,,
2025-09-11T20:36:00.671307,4244.0,nan,0.0,,
2025-09-11T20:36:00.693254,4234.0,0.0,0.0,,
2025-09-11T20:36:00.711709,4289.0,0.0,0.0,,
2025-09-11T20:36:00.733195,4323.0,0.0,0.0,,
2025-09-11T20:36:00.767328,nan,0.0,0.0,,
2025-09-11T20:36:00.771751,4379.0,0.0,0.0,,
2025-09-11T20:36:00.792053,4367.0,0.0,0.0,,
2025-09-11T20:36:00.811262,4370.0,0.0,0.0,,
2025-09-11T20:36:00.832440,4420.0,0.0,0.0,,
2025-09-11T20:36:00.857847,4453.0,0.0,0.0,,
2025-09-11T20:36:00.892429,4445.0,0.0,0.0,,
2025-09-11T20:36:00.926039,4506.0,0.0,0.0,,
2025-09-11T20:36:00.926107,4517.0,nan,0.0,,
2025-09-11T20:36:00.931592,4550.0,0.0,0.0,,
2025-09-11T20:36:00.952111,4617.0,nan,0.0,,
2025-09-11T20:36:00.974739,4672.0,0.0,nan,,
2025-09-11T20:36:01.004787,4694.0,0.0,0.0,,
2025-09-11T20:36:01.016786,4722.0,0.0,0.0,,
2025-09-11T20:36:01.031764,4772.0,0.0,nan,,
2025-09-11T20:36:01.051884,4813.0,0.0,0.0,,
2025-09-11T20:36:01.071673,4840.0,0.0,0.0,,
2025-09-11T20:36:01.092186,nan,0.0,0.0,,
2025-09-11T20:36:01.121669,4923.0,0.0,0.0,,
2025-09-11T20:36:01.138856,4949.0,0.0,0.0,,
2025-09-11T20:36:01.152288,4971.0,0.0,0.0,,
2025-09-11T20:36:01.173096,4983.0,0.0,0.0,,
2025-09-11T20:36:01.190507,5005.0,0.0,0.0,,
2025-09-11T20:36:01.213214,5032.0,0.0,0.0,,
2025-09-11T20:36:01.233039,5032.0,0.0,nan,,
2025-09-11T20:36:01.253976,5032.0,0.0,0.0,,
2025-09-11T20:36:01.270759,nan,0.0,0.0,,
2025-09-11T20:36:01.293300,5113.0,0.0,nan,,
2025-09-11T20:36:01.311931,nan,0.0,0.0,,
2025-09-11T20:36:01.332979,5166.0,0.0,0.0,,
2025-09-11T20:36:01.355748,5141.0,0.0,0.0,,
2025-09-11T20:36:01.379279,5175.0,0.0,0.0,,
2025-09-11T20:36:01.391845,5169.0,0.0,nan,,
2025-09-11T20:36:01.415406,5171.0,0.0,0.0,,
2025-09-11T20:36:01.434867,5167.0,0.0,0.0,,
2025-09-11T20:36:01.451512,5147.0,nan,0.0,,
2025-09-11T20:36:01.475595,nan,0.0,0.0,,
2025-09-11T20:36:01.508742,5024.0,0.0,0.0,,
2025-09-11T20:36:01.512502,5013.0,0.0,0.0,,
2025-09-11T20:36:01.538516,4961.0,0.0,0.0,,
2025-09-11T20:36:01.538604,4961.0,0.0,0.0,,
2025-09-11T20:36:01.551810,4905.0,0.0,0.0,,
2025-09-11T20:36:01.571608,4845.0,0.0,0.0,,
2025-09-11T20:36:01.596700,nan,0.0,0.0,,
2025-09-11T20:36:01.638925,4703.0,nan,0.0,,
2025-09-11T20:36:01.638987,4643.0,0.0,0.0,,
2025-09-11T20:36:01.651861,4624.0,0.0,0.0,,
2025-09-11T20:36:01.671654,4443.0,nan,0.0,,
2025-09-11T20:36:01.691532,4362.0,nan,0.0,,
2025-09-11T20:36:01.711584,nan,0.0,0.0,,
2025-09-11T20:36:01.761463,4258.0,0.1,0.0,,
2025-09-11T20:36:01.763589,nan,0.1,0.0,,
2025-09-11T20:36:01.773067,3966.0,0.1,0.0,,
2025-09-11T20:36:01.791530,nan,0.2,0.0,,
2025-09-11T20:36:01.811948,3864.0,0.2,0.0,,
2025-09-11T20:36:01.831644,3813.0,0.2,nan,,
2025-09-11T20:36:01.852347,3758.0,0.3,0.0,,
2025-09-11T20:36:01.890577,3640.0,0.3,0.0,,
2025-09-11T20:36:01.893151,3554.0,0.3,0.0,,
2025-09-11T20:36:01.911849,3491.0,0.4,0.0,,
2025-09-11T20:36:01.932966,3405.0,0.4,0.0,,
2025-09-11T20:36:01.956475,nan,nan,nan,,
2025-09-11T20:36:01.980484,nan,0.4,0.0,,
2025-09-11T20:36:02.000210,2831.0,0.5,1.0,,
2025-09-11T20:36:02.017036,2762.0,0.5,1.0,,
2025-09-11T20:36:02.075015,2623.0,0.5,1.0,,
2025-09-11T20:36:02.075085,2561.0,0.6,nan,,
2025-09-11T20:36:02.075113,nan,0.6,1.0,,
2025-09-11T20:36:02.093552,nan,0.7,1.0,,
2025-09-11T20:36:02.139561,2327.0,0.7,1.0,,
2025-09-11T20:36:02.139609,2179.0,0.7,1.0,,
2025-09-11T20:36:02.152949,2160.0,0.7,1.0,,
2025-09-11T20:36:02.171664,2051.0,0.8,nan,,
2025-09-11T20:36:02.193629,1953.0,0.8,1.0,,
2025-09-11T20:36:02.213245,1830.0,0.9,nan,,
2025-09-11T20:36:02.233362,1767.0,0.9,nan,,
2025-09-11T20:36:02.264459,1831.0,0.9,1.0,,
2025-09-11T20:36:02.274256,1869.0,0.9,1.0,,
2025-09-11T20:36:02.292333,1883.0,0.9,1.0,,
2025-09-11T20:36:02.314037,1898.0,0.9,1.0,,
2025-09-11T20:36:02.334191,1909.0,0.9,1.0,,
2025-09-11T20:36:02.352183,1955.0,1.0,1.0,,
2025-09-11T20:36:02.389924,1955.0,1.0,1.0,,
2025-09-11T20:36:02.391143,2194.0,1.0,nan,,
2025-09-11T20:36:02.412237,2305.0,1.0,1.0,,
2025-09-11T20:36:02.429433,2378.0,1.0,1.0,,
2025-09-11T20:36:02.449624,nan,0.9,1.0,,
2025-09-11T20:36:02.493375,2350.0,0.9,1.0,,
2025-09-11T20:36:02.511812,2370.0,0.9,nan,,
2025-09-11T20:36:02.511869,2431.0,0.9,1.0,,
2025-09-11T20:36:02.530399,2489.0,0.8,1.0,,
2025-09-11T20:36:02.551158,2479.0,0.8,1.0,,
2025-09-11T20:36:02.571187,2448.0,0.8,nan,,
2025-09-11T20:36:02.594684,2433.0,0.8,nan,,
2025-09-11T20:36:02.613926,2466.0,0.8,nan,,
2025-09-11T20:36:02.632867,nan,0.8,1.0,,
2025-09-11T20:36:02.651525,2515.0,0.8,1.0,,
2025-09-11T20:36:02.671621,2511.0,0.8,1.0,,
2025-09-11T20:36:02.691780,2546.0,0.5,1.0,,
2025-09-11T20:36:02.711515,2583.0,0.5,1.0,,
2025-09-11T20:36:02.738521,2596.0,0.5,1.0,,
2025-09-11T20:36:02.757941,nan,0.5,1.0,,
2025-09-11T20:36:02.785452,nan,0.5,nan,,
2025-09-11T20:36:02.793264,2661.0,0.5,1.0,,
2025-09-11T20:36:02.813047,2662.0,0.5,1.0,,
2025-09-11T20:36:02.831726,2663.0,0.5,1.0,,
2025-09-11T20:36:02.864965,2676.0,0.5,1.0,,
2025-09-11T20:36:02.883326,2713.0,0.5,1.0,,
2025-09-11T20:36:02.898616,2749.0,0.5,1.0,,
2025-09-11T20:36:02.911690,2750.0,0.5,1.0,,
2025-09-11T20:36:02.933318,nan,0.5,1.0,,
2025-09-11T20:36:02.951240,2770.0,0.5,nan,,
2025-09-11T20:36:02.974850,2777.0,0.5,1.0,,
2025-09-11T20:36:03.004581,2795.0,0.5,nan,,
2025-09-11T20:36:03.014680,2839.0,0.5,1.0,,
2025-09-11T20:36:03.035408,2877.0,0.5,1.0,,
2025-09-11T20:36:03.051181,nan,0.5,1.0,,
2025-09-11T20:36:03.075214,2844.0,0.5,1.0,,
2025-09-11T20:36:03.093103,2872.0,0.5,nan,,
2025-09-11T20:36:03.133914,2994.0,0.5,1.0,,
2025-09-11T20:36:03.133989,3033.0,0.5,1.0,,
2025-09-11T20:36:03.151327,3054.0,0.5,1.0,,
2025-09-11T20:36:03.171241,3145.0,0.5,1.0,,
2025-09-11T20:36:03.191324,nan,0.5,1.0,,
2025-09-11T20:36:03.218759,3184.0,0.5,1.0,,
2025-09-11T20:36:03.267010,nan,0.5,1.0,,
2025-09-11T20:36:03.288513,3287.0,0.5,1.0,,
2025-09-11T20:36:03.288579,3353.0,0.5,nan,,
2025-09-11T20:36:03.293524,3379.0,0.5,1.0,,
2025-09-11T20:36:03.311628,3399.0,0.5,1.0,,
2025-09-11T20:36:03.331133,3503.0,0.5,1.0,,
2025-09-11T20:36:03.351296,3590.0,0.5,nan,,
2025-09-11T20:36:03.371821,3745.0,0.5,1.0,,
2025-09-11T20:36:03.399542,3851.0,0.5,1.0,,
2025-09-11T20:36:03.412945,3991.0,0.5,1.0,,
2025-09-11T20:36:03.431447,4059.0,0.5,1.0,,
2025-09-11T20:36:03.451589,nan,0.5,1.0,,
2025-09-11T20:36:03.471162,4066.0,0.5,1.0,,
2025-09-11T20:36:03.527058,nan,nan,nan,,
2025-09-11T20:36:03.529538,4212.0,0.5,1.0,,
2025-09-11T20:36:03.541331,4236.0,0.5,1.0,,
2025-09-11T20:36:03.553867,4288.0,0.5,1.0,,
2025-09-11T20:36:03.571721,4401.0,0.5,1.0,,
2025-09-11T20:36:03.592431,4472.0,0.5,1.0,,
2025-09-11T20:36:03.611812,4476.0,0.5,1.0,,
2025-09-11T20:36:03.649903,4566.0,0.5,nan,,
2025-09-11T20:36:03.669214,4771.0,0.5,1.0,,
2025-09-11T20:36:03.671392,nan,0.5,1.0,,
2025-09-11T20:36:03.691371,4937.0,0.0,0.0,,
2025-09-11T20:36:03.711026,nan,0.0,0.0,,
2025-09-11T20:36:03.731291,nan,0.0,0.0,,
2025-09-11T20:36:03.758674,5194.0,0.0,0.0,,
2025-09-11T20:36:03.792569,5237.0,0.0,0.0,,
2025-09-11T20:36:03.792633,5313.0,0.0,0.0,,
2025-09-11T20:36:03.813167,5348.0,0.0,0.0,,
2025-09-11T20:36:03.831694,5433.0,0.0,0.0,,
2025-09-11T20:36:03.853806,5459.0,0.0,0.0,,
2025-09-11T20:36:03.874757,5528.0,0.0,0.0,,
2025-09-11T20:36:03.916428,5575.0,0.0,nan,,
2025-09-11T20:36:03.916496,5593.0,nan,0.0,,
2025-09-11T20:36:03.934889,5639.0,0.0,nan,,
2025-09-11T20:36:03.951409,5651.0,0.0,0.0,,
2025-09-11T20:36:03.971651,5638.0,0.0,nan,,
2025-09-11T20:36:03.994393,5617.0,0.0,0.0,,
2025-09-11T20:36:03.994441,5617.0,0.0,0.0,,
2025-09-11T20:36:04.039317,nan,0.0,0.0,,
2025-09-11T20:36:04.039377,nan,0.1,nan,,
2025-09-11T20:36:04.052377,5488.0,0.1,0.0,,
2025-09-11T20:36:04.072727,5351.0,0.1,0.0,,
2025-09-11T20:36:04.091626,5276.0,0.1,0.0,,
2025-09-11T20:36:04.111357,nan,0.2,0.0,,
2025-09-11T20:36:04.134082,5007.0,0.2,0.0,,
2025-09-11T20:36:04.164593,nan,0.2,0.0,,
2025-09-11T20:36:04.173171,4887.0,0.3,0.0,,
2025-09-11T20:36:04.219216,nan,0.3,0.0,,
2025-09-11T20:36:04.219281,4675.0,0.3,0.0,,
2025-09-11T20:36:04.230912,4593.0,nan,1.0,,
2025-09-11T20:36:04.257231,4535.0,0.5,1.0,,
2025-09-11T20:36:04.287437,4440.0,0.5,1.0,,
2025-09-11T20:36:04.293113,4374.0,0.7,nan,,
2025-09-11T20:36:04.311298,4331.0,0.7,1.0,,
2025-09-11T20:36:04.331226,4238.0,0.7,1.0,,
2025-09-11T20:36:04.351094,4119.0,0.8,nan,,
2025-09-11T20:36:04.374437,4047.0,0.8,1.0,,
2025-09-11T20:36:04.397376,3999.0,0.8,1.0,,
2025-09-11T20:36:04.414321,3917.0,1.0,1.0,,
2025-09-11T20:36:04.431854,nan,1.0,1.0,,
2025-09-11T20:36:04.451568,nan,1.2,1.0,,
2025-09-11T20:36:04.473075,3671.0,1.2,1.0,,
2025-09-11T20:36:04.491911,3567.0,1.2,1.0,,
