timestamp,type,value
2025-09-11T19:45:09.417798,GATE_TRIGGER,7.281
2025-09-11T19:45:16.040644,GATE_TRIGGER,6.625
2025-09-11T19:45:22.446265,GATE_TRIGGER,6.408
2025-09-11T19:45:28.832962,GATE_TRIGGER,6.387
2025-09-11T19:47:24.666986,GATE_TRIGGER,5.783
2025-09-11T19:47:30.357140,GATE_TRIGGER,5.643
2025-09-11T19:47:35.934657,GATE_TRIGGER,5.625
2025-09-11T19:47:57.739536,GATE_TRIGGER,5.912
2025-09-11T19:48:03.394253,GATE_TRIGGER,5.581
2025-09-11T19:48:08.720953,GATE_TRIGGER,5.405
2025-09-11T19:48:14.197114,GATE_TRIGGER,5.474
2025-09-11T19:48:50.154600,MARKER,Ashton Skidpad Runs Above
2025-09-11T19:49:24.167705,GATE_TRIGGER,5.839
2025-09-11T19:49:29.909474,GATE_TRIGGER,5.741
2025-09-11T19:49:31.595633,CONE,1
2025-09-11T19:49:35.322284,GATE_TRIGGER,5.404
2025-09-11T19:49:40.658323,GATE_TRIGGER,5.346
2025-09-11T19:50:27.445630,GATE_TRIGGER,5.847
2025-09-11T19:50:33.200823,GATE_TRIGGER,5.749
2025-09-11T19:50:38.661703,GATE_TRIGGER,5.463
2025-09-11T19:50:44.133320,GATE_TRIGGER,5.473
2025-09-11T19:51:05.827947,GATE_TRIGGER,5.679
2025-09-11T19:51:11.545660,GATE_TRIGGER,5.724
2025-09-11T19:51:16.891088,GATE_TRIGGER,5.344
2025-09-11T19:51:22.285215,GATE_TRIGGER,5.389
2025-09-11T19:51:44.312263,GATE_TRIGGER,5.93
2025-09-11T19:51:49.969802,GATE_TRIGGER,5.658
2025-09-11T19:51:55.319961,GATE_TRIGGER,5.35
2025-09-11T19:52:00.648002,GATE_TRIGGER,5.319
2025-09-11T19:55:19.888132,GATE_TRIGGER,5.905
2025-09-11T19:55:25.691861,GATE_TRIGGER,5.642
2025-09-11T19:55:31.019059,GATE_TRIGGER,5.476
2025-09-11T19:55:36.314503,GATE_TRIGGER,5.31
2025-09-11T19:55:59.601299,GATE_TRIGGER,5.849
2025-09-11T19:56:05.226549,GATE_TRIGGER,5.625
2025-09-11T19:56:10.748649,GATE_TRIGGER,5.466
2025-09-11T19:56:16.032490,GATE_TRIGGER,5.333
2025-09-11T19:56:29.899940,CONE,1
2025-09-11T19:57:23.189788,GATE_TRIGGER,5.824
2025-09-11T19:57:28.838530,GATE_TRIGGER,5.655
2025-09-11T19:57:34.239698,GATE_TRIGGER,5.399
2025-09-11T19:57:39.627418,GATE_TRIGGER,5.261
2025-09-11T19:58:00.513933,GATE_TRIGGER,5.548
2025-09-11T19:58:06.085043,GATE_TRIGGER,5.57
2025-09-11T19:58:11.527052,GATE_TRIGGER,5.445
2025-09-11T19:58:16.837197,GATE_TRIGGER,5.309
2025-09-11T19:58:41.366725,GATE_TRIGGER,5.775
2025-09-11T19:58:46.840633,GATE_TRIGGER,5.472
2025-09-11T19:58:52.300702,GATE_TRIGGER,5.463
2025-09-11T19:58:57.926051,GATE_TRIGGER,5.621
2025-09-11T19:59:22.322218,GATE_TRIGGER,5.703
2025-09-11T19:59:27.847157,GATE_TRIGGER,5.517
2025-09-11T19:59:33.252531,GATE_TRIGGER,5.414
2025-09-11T19:59:38.897984,GATE_TRIGGER,5.632
2025-09-11T19:59:42.211058,CONE,1
2025-09-11T20:01:45.394897,GATE_TRIGGER,5.907
2025-09-11T20:01:51.163540,GATE_TRIGGER,5.756
2025-09-11T20:01:56.855962,GATE_TRIGGER,5.703
2025-09-11T20:02:02.348505,GATE_TRIGGER,5.492
2025-09-11T20:02:07.764557,GATE_TRIGGER,5.421
2025-09-11T20:02:31.106556,GATE_TRIGGER,5.769
2025-09-11T20:02:36.731812,GATE_TRIGGER,5.627
2025-09-11T20:02:42.154721,GATE_TRIGGER,5.42
2025-09-11T20:02:47.761877,GATE_TRIGGER,5.611
2025-09-11T20:14:47.624782,MARKER,End Ashton Skidpad Runs and accel
