timestamp,type,RPM,VSS,Gear,STR,TPS,CLT1,CLT2,OilTemp,MAP,MAT,FuelPres,OilPres,AFR,BatV,AccelZ,AccelX,AccelY,FR_Shock,FL_Shock,RR_Shock,RL_Shock,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
2025-11-08T13:50:31.026289,TELEMETRY,3160.0,0.0,0.0,-23.7,14.1,172.6,151.4,385.1,77.8,85.8,40.9,23.0,12.0,13.2,1.296875,-0.065918,0.011719,32.31599,28.38349,28.76806,28.51995,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.116724,TELEMETRY,3157.0,0.0,0.0,-23.7,14.1,172.6,151.4,385.1,77.8,85.8,40.7,22.9,12.1,13.2,1.077637,-0.130859,-0.052246,32.34081,28.34628,28.66882,28.51995,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.169154,TELEMETRY,3139.0,0.0,0.0,-23.7,14.1,172.7,151.4,385.1,77.7,85.8,40.7,22.9,12.1,13.2,1.257324,-0.034668,0.090332,32.35321,28.45792,28.74325,28.51995,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.169220,TELEMETRY,3140.0,0.0,0.0,-23.7,14.1,172.7,151.4,385.1,77.7,85.8,40.6,22.8,12.1,13.2,1.097168,-0.006836,0.028809,32.35321,28.13538,28.73084,28.58198,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.187517,TELEMETRY,3139.0,0.0,0.0,-23.7,14.1,172.7,151.4,385.2,77.7,85.8,42.4,23.2,12.1,13.2,1.264648,-0.027344,0.012695,32.31599,28.34628,28.71844,28.51995,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.218305,TELEMETRY,3129.0,0.0,0.0,-23.7,14.1,172.7,151.3,385.1,77.7,85.8,41.2,23.1,12.1,13.2,0.817383,-0.07373,0.109863,32.34081,28.3959,28.55717,28.49514,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.218411,TELEMETRY,3146.0,0.0,0.0,-23.7,14.1,172.9,151.4,385.1,77.6,85.8,42.7,23.1,12.1,13.2,1.274902,-0.145996,-0.111816,32.34081,28.38349,28.73084,28.66882,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.238900,TELEMETRY,3122.0,0.0,0.0,-23.7,14.1,172.9,151.4,385.1,77.6,85.8,42.7,23.1,12.1,13.2,0.937012,-0.137695,-0.005859,32.35321,28.47033,28.74325,28.50755,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.244089,TELEMETRY,3122.0,0.0,0.0,-23.3,14.1,173.0,151.4,384.8,77.6,85.8,43.3,22.9,12.0,13.2,1.015137,0.035156,0.083496,32.39043,28.42071,28.95414,28.54476,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.286153,TELEMETRY,3099.0,0.0,0.0,-23.7,14.1,173.1,151.4,384.9,77.8,85.8,43.3,22.8,12.0,13.2,1.05957,0.111816,0.09082,32.47726,28.37109,29.05338,28.51995,0.0,0.0,nan,nan,0.0
