timestamp,type,RPM,VSS,Gear,STR,TPS,CLT1,CLT2,OilTemp,MAP,MAT,FuelPres,OilPres,AFR,BatV,AccelZ,AccelX,AccelY,FR_Shock,FL_Shock,RR_Shock,RL_Shock,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed
2025-11-08T13:28:35.591652,TELEMETRY,0.0,0.0,0.0,0.2,28.3,98.4,83.7,605.9,96.8,93.3,37.3,1.6,17.3,12.7,2114.0,-36.0,-65.0,31.60889,28.68122,30.2443,28.06095,nan,nan,nan,nan
2025-11-08T13:28:35.661812,TELEMETRY,0.0,0.0,0.0,0.2,28.0,98.4,83.7,605.9,96.9,93.3,34.5,1.2,17.3,12.7,2137.0,-36.0,-33.0,31.59648,28.68122,30.28151,27.99892,nan,nan,nan,nan
2025-11-08T13:28:35.713681,TELEMETRY,0.0,0.0,0.0,0.2,67.1,98.4,83.8,605.9,97.0,93.3,34.5,1.2,17.3,12.6,2098.0,-35.0,-40.0,31.59648,28.73084,30.2567,28.04855,nan,nan,nan,nan
2025-11-08T13:28:35.757233,TELEMETRY,0.0,0.0,0.0,0.2,95.0,98.4,83.8,606.1,97.0,93.3,31.6,0.7,17.3,12.6,2011.0,1.0,-23.0,31.6337,28.70603,30.30632,28.07336,nan,nan,nan,nan
2025-11-08T13:28:35.788396,TELEMETRY,0.0,0.0,0.0,0.2,101.2,98.4,83.7,606.5,97.0,93.3,29.8,0.5,17.3,12.6,2198.0,-29.0,-49.0,31.58408,28.68122,30.12024,27.91209,nan,nan,nan,nan
2025-11-08T13:28:35.842652,TELEMETRY,0.0,0.0,0.0,0.2,101.2,98.4,83.7,606.1,97.0,93.3,28.7,0.4,17.3,12.6,2112.0,-19.0,-39.0,31.62129,28.644,30.2567,28.02374,nan,nan,nan,nan
2025-11-08T13:28:35.900379,TELEMETRY,0.0,0.0,0.0,0.2,101.2,98.4,83.8,605.9,96.9,93.3,27.8,0.4,17.3,12.6,2053.0,-34.0,-38.0,31.62129,28.69363,30.2567,28.02374,nan,nan,nan,nan
2025-11-08T13:28:35.943093,TELEMETRY,0.0,0.0,0.0,0.2,101.3,98.4,83.8,605.9,97.0,93.3,26.8,0.4,17.3,12.6,2178.0,-56.0,-51.0,31.52205,28.69363,30.26911,28.02374,nan,nan,nan,nan
2025-11-08T13:28:35.998747,TELEMETRY,0.0,0.0,0.0,0.2,101.3,98.4,83.7,605.9,97.0,93.3,26.8,0.4,17.3,12.6,2179.0,-30.0,-89.0,31.58408,28.69363,30.28151,28.07336,nan,nan,nan,nan
2025-11-08T13:28:36.051848,TELEMETRY,0.0,0.0,0.0,0.6,101.3,98.4,83.7,606.3,97.0,93.5,25.1,0.2,14.5,12.6,2116.0,-20.0,-20.0,31.60889,28.58198,30.2567,28.04855,nan,nan,nan,nan
2025-11-08T13:28:36.098242,TELEMETRY,0.0,0.0,0.0,0.2,101.3,98.4,83.7,606.7,97.0,93.6,24.5,0.2,14.5,12.6,2129.0,-57.0,-24.0,31.6461,28.74325,30.28151,27.99892,nan,nan,nan,nan
2025-11-08T13:28:36.137747,TELEMETRY,0.0,0.0,0.0,0.2,101.4,98.4,83.7,606.3,97.0,93.6,23.8,0.2,14.5,12.6,2136.0,-25.0,-61.0,31.60889,28.69363,30.29392,28.02374,nan,nan,nan,nan
2025-11-08T13:28:36.213588,TELEMETRY,0.0,0.0,0.0,0.6,101.4,98.4,83.7,606.2,97.0,93.6,23.3,0.2,14.5,12.6,2114.0,-25.0,-61.0,31.6337,28.69363,30.21949,28.01133,nan,nan,nan,nan
2025-11-08T13:28:36.241731,TELEMETRY,0.0,0.0,0.0,0.6,20.1,98.4,83.7,606.2,97.0,93.6,22.7,0.2,14.5,12.6,2171.0,-47.0,-42.0,31.6461,28.76806,30.26911,28.07336,nan,nan,nan,nan
2025-11-08T13:28:36.291347,TELEMETRY,0.0,0.0,0.0,0.6,12.3,98.4,83.8,606.3,97.0,93.6,22.1,0.2,14.5,12.6,2053.0,-18.0,14.0,31.62129,28.68122,30.2567,28.02374,nan,nan,nan,nan
2025-11-08T13:28:36.356599,TELEMETRY,0.0,0.0,0.0,0.2,12.1,98.4,83.8,606.1,97.0,93.6,21.9,0.2,14.5,12.6,2141.0,-33.0,-77.0,31.62129,28.73084,30.26911,28.03614,nan,nan,nan,nan
2025-11-08T13:28:36.421580,TELEMETRY,0.0,0.0,0.0,0.2,12.1,98.4,83.7,606.1,97.0,93.6,20.7,0.0,14.5,12.6,2120.0,-7.0,-39.0,31.55927,28.66882,30.26911,28.03614,nan,nan,nan,nan
2025-11-08T13:28:36.446400,TELEMETRY,0.0,0.0,0.0,0.2,12.1,98.4,83.7,606.3,97.0,93.6,20.5,0.0,14.5,12.6,2116.0,-44.0,-67.0,31.59648,28.66882,30.28151,28.03614,nan,nan,nan,nan
2025-11-08T13:28:36.506150,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.6,606.5,97.0,93.5,20.0,0.0,14.5,12.6,2097.0,-60.0,-49.0,31.62129,28.69363,30.14505,28.08576,nan,nan,nan,nan
2025-11-08T13:28:36.542054,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.8,606.1,97.0,93.6,19.5,0.0,14.5,12.6,2114.0,-10.0,-6.0,31.65851,28.73084,30.16986,28.08576,nan,nan,nan,nan
2025-11-08T13:28:36.613996,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.9,606.1,97.0,93.6,19.1,0.0,14.5,12.6,2123.0,-38.0,-73.0,31.53446,28.71844,29.95897,28.03614,nan,nan,nan,nan
2025-11-08T13:28:36.656432,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.9,607.0,97.0,93.6,18.6,0.0,14.5,12.6,2106.0,-44.0,-43.0,31.55927,28.71844,30.26911,27.87487,nan,nan,nan,nan
2025-11-08T13:28:36.703138,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.9,606.3,97.0,93.6,18.5,0.0,14.5,12.6,2127.0,-29.0,-8.0,31.6461,28.68122,30.15746,27.99892,nan,nan,nan,nan
2025-11-08T13:28:36.744717,TELEMETRY,0.0,0.0,0.0,0.9,12.1,98.4,83.9,606.5,97.0,93.6,17.9,0.0,14.5,12.6,2123.0,-19.0,-37.0,31.53446,28.71844,30.10784,28.12298,nan,nan,nan,nan
2025-11-08T13:28:36.817380,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.9,606.2,97.0,93.6,17.6,0.0,14.5,12.6,2131.0,-7.0,-63.0,31.59648,28.644,30.23189,28.04855,nan,nan,nan,nan
2025-11-08T13:28:36.844506,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.8,606.2,97.0,93.6,17.4,0.0,14.5,12.6,2128.0,-37.0,-44.0,31.59648,28.71844,30.26911,28.02374,nan,nan,nan,nan
2025-11-08T13:28:36.910854,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.9,606.7,97.0,93.6,17.0,0.0,14.5,12.6,2123.0,-32.0,-36.0,31.57167,28.71844,30.26911,28.07336,nan,nan,nan,nan
2025-11-08T13:28:36.938671,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.9,606.7,97.1,93.6,17.0,0.0,14.5,12.6,2114.0,-24.0,-49.0,31.59648,28.71844,30.2567,28.01133,nan,nan,nan,nan
2025-11-08T13:28:37.031500,TELEMETRY,0.0,0.0,0.0,0.6,12.1,98.4,83.9,606.3,97.0,93.6,16.5,0.0,14.5,12.6,2150.0,-22.0,-26.0,31.60889,28.68122,30.2567,27.96171,nan,nan,nan,nan
2025-11-08T13:28:37.043522,TELEMETRY,0.0,0.0,0.0,0.6,14.7,98.4,83.9,606.2,97.0,93.6,16.4,0.0,14.1,12.6,2148.0,-38.0,-64.0,31.6461,28.73084,30.13265,28.03614,nan,nan,nan,nan
2025-11-08T13:28:37.110134,TELEMETRY,0.0,0.0,0.0,0.6,32.3,98.4,83.9,606.6,97.0,93.6,15.9,0.1,14.3,12.5,2200.0,-43.0,-65.0,31.62129,28.79287,30.28151,28.03614,nan,nan,nan,nan
2025-11-08T13:28:37.156239,TELEMETRY,0.0,0.0,0.0,0.6,44.4,98.4,83.9,606.6,96.9,93.6,15.9,0.1,14.3,12.2,2138.0,13.0,-32.0,31.6461,28.74325,30.28151,28.07336,nan,nan,nan,nan
2025-11-08T13:28:37.188735,TELEMETRY,0.0,0.0,0.0,0.6,54.3,98.4,83.9,606.9,96.9,93.6,15.4,0.8,14.3,12.2,2070.0,-23.0,-52.0,31.59648,28.644,30.26911,27.99892,nan,nan,nan,nan
2025-11-08T13:28:37.246611,TELEMETRY,0.0,0.0,0.0,0.6,64.7,98.4,83.9,606.1,96.9,93.6,15.0,1.4,14.3,12.0,2164.0,-67.0,-60.0,31.55927,28.79287,30.48,27.96171,nan,nan,nan,nan
2025-11-08T13:28:37.298037,TELEMETRY,0.0,0.0,0.0,0.6,68.8,98.4,83.9,606.1,96.8,93.6,15.0,1.4,14.3,11.8,2110.0,-73.0,11.0,31.62129,28.66882,30.13265,28.08576,nan,nan,nan,nan
2025-11-08T13:28:37.357257,TELEMETRY,0.0,0.0,0.0,0.6,68.8,98.4,83.9,606.1,96.8,93.6,14.7,2.1,14.3,11.8,2101.0,-53.0,-49.0,31.60889,28.70603,30.2567,28.07336,nan,nan,nan,nan
2025-11-08T13:28:37.393841,TELEMETRY,0.0,0.0,0.0,0.6,69.0,98.4,83.9,606.2,96.8,93.6,14.4,2.7,14.3,11.6,2077.0,-41.0,24.0,31.67092,28.71844,30.39316,28.04855,nan,nan,nan,nan
2025-11-08T13:28:37.465196,TELEMETRY,0.0,0.0,0.0,0.6,62.5,98.4,83.9,606.1,96.8,93.6,14.2,2.8,14.3,11.4,2226.0,-6.0,-44.0,31.67092,28.69363,30.26911,28.03614,nan,nan,nan,nan
2025-11-08T13:28:37.504834,TELEMETRY,451.0,0.0,0.0,0.6,62.0,98.4,83.9,606.1,96.8,93.6,14.0,3.2,14.3,11.2,2398.0,79.0,39.0,31.59648,28.69363,30.30632,28.07336,nan,nan,nan,nan
2025-11-08T13:28:37.560685,TELEMETRY,451.0,0.0,0.0,0.6,62.0,98.4,83.9,606.1,96.8,93.6,14.0,3.2,14.3,11.2,2460.0,13.0,-8.0,31.59648,28.74325,30.29392,27.9493,nan,nan,nan,nan
2025-11-08T13:28:37.593744,TELEMETRY,984.0,0.0,0.0,0.6,61.8,98.4,83.9,606.5,96.8,93.6,20.5,3.5,14.3,11.0,2291.0,82.0,-69.0,31.6461,28.71844,30.23189,28.07336,nan,nan,nan,nan
2025-11-08T13:28:37.643078,TELEMETRY,1016.0,0.0,0.0,0.6,63.5,98.4,83.7,606.4,96.8,93.6,41.2,7.3,14.3,10.9,1945.0,-186.0,20.0,31.57167,28.68122,30.26911,27.89968,nan,nan,nan,nan
2025-11-08T13:28:37.708056,TELEMETRY,1082.0,0.0,0.0,0.6,68.4,98.4,83.9,606.1,96.8,93.6,42.0,8.400001,14.3,10.7,1988.0,44.0,-10.0,31.6461,28.644,30.29392,28.07336,nan,nan,nan,nan
2025-11-08T13:28:37.754788,TELEMETRY,1082.0,0.0,0.0,0.6,68.4,98.4,83.9,606.1,96.7,93.6,42.0,9.3,14.3,10.7,1618.0,-272.0,-62.0,31.6461,28.69363,30.2567,28.07336,nan,nan,nan,nan
2025-11-08T13:28:37.806077,TELEMETRY,1071.0,0.0,0.0,0.6,67.5,98.4,83.9,606.5,96.7,93.6,41.9,9.7,14.3,10.7,2338.0,87.0,-130.0,31.6461,28.70603,30.26911,28.04855,nan,nan,nan,nan
2025-11-08T13:28:37.870346,TELEMETRY,1289.0,0.0,0.0,0.6,27.8,98.4,83.9,605.6,96.2,93.6,41.9,11.3,14.3,10.8,2185.0,64.0,-205.0,31.98105,28.66882,30.31873,28.02374,nan,nan,nan,nan
2025-11-08T13:28:37.917614,TELEMETRY,1436.0,0.0,0.0,0.6,24.3,98.4,83.9,606.4,94.6,93.6,42.0,14.4,14.3,10.9,1962.0,55.0,93.0,31.89421,28.73084,30.2567,27.99892,nan,nan,nan,nan
2025-11-08T13:28:37.963258,TELEMETRY,1544.0,0.0,0.0,0.6,24.4,98.4,83.9,606.1,94.6,93.6,42.0,16.0,14.3,11.0,2244.0,114.0,228.0,31.57167,28.47033,30.23189,27.99892,nan,nan,nan,nan
2025-11-08T13:28:37.999036,TELEMETRY,1751.0,0.0,0.0,0.6,32.9,98.4,83.9,606.1,93.9,93.6,42.0,16.0,14.3,11.0,2449.0,334.0,65.0,31.59648,28.58198,30.23189,28.08576,nan,nan,nan,nan
2025-11-08T13:28:38.080131,TELEMETRY,1751.0,0.0,0.0,0.6,58.3,98.4,83.9,606.1,95.1,93.6,42.0,22.5,14.3,11.2,2291.0,160.0,-106.0,31.59648,28.68122,30.26911,28.02374,nan,nan,nan,nan
2025-11-08T13:28:38.101497,TELEMETRY,1751.0,0.0,0.0,0.6,58.3,98.4,83.9,606.1,95.8,93.6,42.0,22.5,14.3,11.2,2049.0,-221.0,54.0,31.6337,28.68122,30.34354,28.06095,nan,nan,nan,nan
2025-11-08T13:28:38.167427,TELEMETRY,2381.0,0.0,0.0,0.6,49.0,98.4,83.9,606.1,94.8,93.6,42.0,22.5,14.3,11.3,2753.0,638.0,193.0,31.55927,28.69363,30.31873,28.06095,nan,nan,nan,nan
2025-11-08T13:28:38.196644,TELEMETRY,2436.0,0.0,0.0,0.6,12.3,98.4,83.9,605.6,86.0,93.6,42.2,32.2,14.3,11.5,2143.0,521.0,242.0,31.62129,28.69363,30.26911,28.06095,nan,nan,nan,nan
2025-11-08T13:28:38.246458,TELEMETRY,2436.0,0.0,0.0,0.6,12.3,98.4,84.0,605.7,84.7,93.6,42.2,37.1,14.3,11.5,2467.0,-391.0,-19.0,31.60889,28.71844,30.30632,28.07336,nan,nan,nan,nan
2025-11-08T13:28:38.300412,TELEMETRY,2836.0,0.0,0.0,0.6,12.3,98.4,83.9,605.7,79.8,93.6,42.2,37.1,14.3,11.5,1684.0,-430.0,-54.0,31.59648,28.54476,30.23189,28.02374,nan,nan,nan,nan
2025-11-08T13:28:38.336930,TELEMETRY,2753.0,0.0,0.0,0.6,13.1,98.4,83.9,606.5,79.3,93.6,42.2,39.4,14.3,11.9,2122.0,180.0,-247.0,31.59648,28.71844,30.16986,28.02374,nan,nan,nan,nan
2025-11-08T13:28:38.399218,TELEMETRY,2621.0,0.0,0.0,0.6,12.1,98.4,83.9,606.5,78.0,93.6,42.2,39.4,14.3,12.1,2145.0,-216.0,-45.0,31.59648,28.71844,30.31873,28.04855,nan,nan,nan,nan
2025-11-08T13:28:38.448446,TELEMETRY,2621.0,0.0,0.0,0.6,12.1,98.4,83.9,605.8,77.8,93.6,42.2,35.6,14.3,12.1,2355.0,0.0,4.0,31.59648,28.73084,30.26911,28.02374,nan,nan,nan,nan
2025-11-08T13:28:38.511494,TELEMETRY,2465.0,0.0,0.0,0.2,12.1,98.4,83.9,605.9,77.8,93.6,42.2,33.7,14.3,12.2,1849.0,165.0,8.0,31.65851,28.79287,30.28151,28.01133,nan,nan,nan,nan
2025-11-08T13:28:38.546377,TELEMETRY,2403.0,0.0,0.0,0.6,12.1,98.4,83.9,605.9,78.4,93.6,42.1,32.2,14.3,12.4,2414.0,197.0,29.0,31.68332,28.29665,30.26911,28.23463,nan,nan,nan,nan
2025-11-08T13:28:38.626824,TELEMETRY,2312.0,0.0,0.0,0.6,12.1,98.4,83.9,606.0,78.6,93.6,42.2,30.5,14.3,12.4,2384.0,49.0,-153.0,31.65851,28.71844,30.23189,28.02374,nan,nan,nan,nan
2025-11-08T13:28:38.657809,TELEMETRY,2272.0,0.0,0.0,0.6,12.1,98.4,83.9,605.4,78.6,93.6,42.2,30.2,14.3,12.4,2078.0,-84.0,44.0,31.62129,28.78046,30.12024,28.06095,nan,nan,nan,nan
2025-11-08T13:28:38.706470,TELEMETRY,2197.0,0.0,0.0,0.6,16.4,98.4,83.9,605.4,79.8,93.6,42.2,30.2,14.3,12.6,2290.0,62.0,115.0,31.65851,28.47033,30.2567,28.04855,nan,nan,nan,nan
