timestamp,type,value
2025-09-08T13:30:58.909935,GATE_TRIGGER,34.0
2025-09-08T13:30:59.977262,GATE_TRIGGER,22.0
2025-09-08T13:31:00.984020,GATE_TRIGGER,38.0
2025-09-08T13:31:01.986109,GATE_TRIGGER,27.0
2025-09-08T13:31:02.459283,CONE,1
2025-09-08T13:31:02.607018,CONE,1
2025-09-08T13:31:02.723039,CONE,1
2025-09-08T13:31:02.995876,GATE_TRIGGER,40.0
2025-09-08T13:31:03.279076,OFF_TRACK,1
2025-09-08T13:31:03.419174,OFF_TRACK,1
2025-09-08T13:31:03.563122,OFF_TRACK,1
2025-09-08T13:31:03.745428,OFF_TRACK,1
2025-09-08T13:31:03.847183,OFF_TRACK,1
2025-09-08T13:31:04.009647,GATE_TRIGGER,32.0
2025-09-08T13:31:05.071729,GATE_TRIGGER,36.0
2025-09-08T13:31:06.130594,GATE_TRIGGER,24.0
2025-09-08T13:31:06.937834,MARKER,thgfhthtgh
2025-09-08T13:31:07.138436,GATE_TRIGGER,30.0
2025-09-08T13:31:08.138771,GATE_TRIGGER,21.0
2025-09-08T13:31:09.141703,GATE_TRIGGER,31.0
2025-09-08T13:31:10.142527,GATE_TRIGGER,20.0
2025-09-08T13:31:11.172127,GATE_TRIGGER,40.0
