timestamp,type,value
2025-09-11T20:36:05.816913,MARKER,Ellie Runs
2025-09-11T20:36:34.874816,GATE_TRIGGER,9.592
2025-09-11T20:36:43.937604,GATE_TRIGGER,9.066
2025-09-11T20:36:55.921174,CONE,1
2025-09-11T20:36:55.964844,CONE,1
2025-09-11T20:36:56.213932,CONE,1
2025-09-11T20:36:56.329537,CONE,1
2025-09-11T20:36:56.685928,CONE,1
2025-09-11T20:36:56.807275,CONE,1
2025-09-11T20:36:57.074174,CONE,1
2025-09-11T20:36:57.309983,CONE,1
2025-09-11T20:36:57.535027,CONE,1
2025-09-11T20:36:57.661322,CONE,1
2025-09-11T20:36:57.786133,CONE,1
2025-09-11T20:36:57.911815,CONE,1
2025-09-11T20:36:58.039670,CONE,1
2025-09-11T20:36:58.183326,CONE,1
2025-09-11T20:36:58.309727,CONE,1
2025-09-11T20:36:58.436817,CONE,1
2025-09-11T20:36:58.542732,CONE,1
2025-09-11T20:36:58.688379,CONE,1
