Time	source	RPM	VSS	Gear	STR	TPS	CLT1	CLT2	OilTemp	MAP	MAT	FuelPres	OilPres	AFR	BatV	AccelZ	AccelX	AccelY	FR_Shock	FL_Shock	RR_Shock	RL_Shock	expectVss
s																							
1762640265216.000	10000000	8214.000	14.700	2.000	-37.400	38.000	183.500	178.500	179.200	64.000	120.600	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.530	39.660	17.628	33.631	22.817
1762640003072.000	10000000	8214.000	14.700	2.000	-37.400	38.000	183.500	178.500	179.200	64.000	120.600	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.579	39.784	17.616	33.445	22.817
1762640265216.000	10000000	8221.000	14.700	2.000	-37.400	38.000	183.500	178.500	179.200	64.000	120.600	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.604	39.846	17.715	33.668	22.836
1762640265216.000	10000000	8221.000	14.700	2.000	-37.400	38.000	183.500	178.500	179.200	64.000	120.600	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.604	39.945	17.764	33.643	22.836
1762640265216.000	10000000	8221.000	14.700	2.000	-37.400	38.000	183.500	178.500	179.200	64.000	120.600	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.331	39.958	17.715	33.519	22.836
1762640003072.000	10000000	8221.000	14.700	2.000	-37.400	38.300	183.500	178.500	179.200	64.600	120.500	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.567	40.032	17.814	33.631	22.836
1762640265216.000	10000000	8221.000	14.700	2.000	-39.200	38.300	183.500	178.400	179.200	64.600	120.500	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.616	40.131	17.764	33.544	22.836
1762640265216.000	10000000	8217.000	14.700	2.000	-39.200	38.300	183.500	178.400	179.200	64.600	120.500	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.728	40.045	17.951	33.507	22.825
1762640265216.000	10000000	8217.000	14.700	2.000	-39.200	38.300	183.500	178.400	179.200	64.600	120.500	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.604	40.379	18.013	33.457	22.825
1762640265216.000	10000000	8217.000	14.700	2.000	-39.200	38.500	183.400	178.400	179.200	64.600	120.500	42.300	20.600	14.300	12.700	1.417	-0.971	0.635	30.517	40.379	17.417	33.445	22.825
1762640265216.000	10000000	8217.000	14.700	2.000	-40.200	38.500	183.400	178.400	179.700	64.600	120.500	43.400	18.400	14.300	12.700	1.417	-0.971	0.635	30.716	40.206	18.248	33.495	22.825
1762640265216.000	10000000	8191.000	14.700	2.000	-40.200	38.500	183.400	178.400	179.700	64.600	120.500	43.400	18.400	14.300	12.700	1.417	-0.971	0.635	30.567	40.144	18.360	33.544	22.753
1762640265216.000	10000000	8191.000	14.700	2.000	-40.200	38.500	183.400	178.400	179.700	64.600	120.500	43.400	18.400	14.300	12.700	1.417	-0.971	0.635	30.468	39.834	25.803	35.628	22.753
1762640265216.000	10000000	8191.000	14.700	2.000	-40.200	38.600	183.400	178.400	179.700	65.100	120.500	43.400	18.400	14.300	12.700	0.623	-0.655	-0.416	30.468	39.561	18.484	33.730	22.753
1762640265216.000	10000000	8191.000	14.700	2.000	-40.200	38.600	183.400	178.400	179.700	65.100	120.500	43.400	18.400	14.300	12.700	0.623	-0.655	-0.416	30.406	39.461	18.571	33.730	22.753
1762640003072.000	10000000	8191.000	14.700	2.000	-39.900	38.600	183.400	178.400	179.700	65.100	120.500	43.400	18.400	14.300	12.700	0.623	-0.655	-0.416	30.331	39.350	18.745	33.705	22.753
