timestamp,source
    ,CAN,RPM,VSS,Gear,STR,TPS,CLT1,CLT2,OilTemp,MAP,MAT,FuelPres,OilPres,AFR,BatV,AccelZ,AccelX,AccelY
    ,ANLG,FR_Shock,FL_Shock,RR_Shock,RL_Shock
    ,GPS,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
3964.565,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3965.636,ANLG,37.241,31.063,30.207,33.631
3966.418,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3967.197,ANLG,37.204,31.100,30.219,33.581
3967.966,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3968.718,ANLG,37.204,31.100,30.157,33.643
3969.474,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3970.241,ANLG,37.154,31.100,30.344,33.643
3971.009,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3971.760,ANLG,37.166,31.150,30.170,33.581
3972.515,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3973.284,ANLG,37.241,31.051,30.257,33.557
3974.047,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3974.800,ANLG,37.204,31.100,30.257,33.631
3975.552,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3976.316,ANLG,37.204,31.063,30.257,33.619
3977.083,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3977.835,ANLG,37.241,31.100,30.133,33.619
3978.776,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3979.569,ANLG,37.216,31.075,30.244,33.557
3980.333,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3981.117,ANLG,37.204,31.088,30.170,33.619
3981.885,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3982.636,ANLG,37.179,31.175,30.257,33.681
3983.388,CAN,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3984.151,ANLG,37.179,31.063,30.269,33.594
3985.121,CAN,0.000,0.000,nan,-2.900,nan,nan,138.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3985.919,ANLG,37.229,31.100,30.170,33.904
3986.711,CAN,0.000,0.000,nan,-2.900,nan,nan,138.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3987.492,ANLG,37.229,31.113,30.058,33.606
