timestamp,source,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
3840.266,GPS,33.008,-84.189,0,0.02,7
4269.274,GPS,33.008,-84.189,0,1.12,7
4378.907,GPS,33.008,-84.189,0,1.12,8
5265.214,GPS,33.008,-84.189,0,0.37,8
5371.81,GPS,33.008,-84.189,0,0.37,6
6256.241,GPS,33.008,-84.189,0,1.64,6
1359404381325.349,GPS,33.008,-84.189,0,1.64,6
1.76264E+12,GPS,33.008,-84.189,0,1.78,6
1762639826023.285,GPS,33.008,-84.189,0,1.78,6
1762639826913.283,GPS,33.008,-84.189,0,0.34,6
1762639827027.929,GPS,33.008,-84.189,0,0.34,7
1.76264E+12,GPS,33.008,-84.189,0,0.31,6
1.76264E+12,GPS,33.008,-84.189,0,0.13,6
1762639828255.736,GPS,33.008,-84.189,0,0.13,7
1762639829141.102,GPS,33.008,-84.189,0,1.86,7
1762639829256.928,GPS,33.008,-84.189,0,1.86,8
1762639830139.706,GPS,33.008,-84.189,0,1.38,8
1762639830254.905,GPS,33.008,-84.189,0,1.38,7
1762639831150.567,GPS,33.008,-84.189,0,0.35,7
1762639831254.114,GPS,33.008,-84.189,0,0.35,7
1762639832134.881,GPS,33.008,-84.189,0,0.35,7
1762639832249.279,GPS,33.008,-84.189,0,0.35,7
1762639833141.302,GPS,33.008,-84.189,0,1.17,7
1.76264E+12,GPS,33.008,-84.189,0,1.17,7
1.76264E+12,GPS,33.008,-84.189,317.05,3.59,7
1762639834266.609,GPS,33.008,-84.189,317.05,3.59,8
1762639835148.157,GPS,33.008,-84.189,317.05,1.53,8
1762639835252.741,GPS,33.008,-84.189,317.05,1.53,7
1762639836133.272,GPS,33.008,-84.189,317.05,1.83,7
1762639836246.784,GPS,33.008,-84.189,317.05,1.83,6
1762639837151.084,GPS,33.008,-84.189,317.05,0.24,6
1762639837266.878,GPS,33.008,-84.189,317.05,0.24,7
1762639838141.788,GPS,33.008,-84.189,317.05,0.13,7
1762639838259.295,GPS,33.008,-84.189,317.05,0.13,7
1762639839142.405,GPS,33.008,-84.189,317.05,0.43,7
1762639839260.378,GPS,33.008,-84.189,317.05,0.43,8
1762639840154.723,GPS,33.008,-84.189,317.05,0.41,8
1762639840262.365,GPS,33.008,-84.189,317.05,0.41,10
1.76264E+12,GPS,33.008,-84.189,317.05,0.38,10
1762639841259.276,GPS,33.008,-84.189,317.05,0.38,9
1762639842143.995,GPS,33.008,-84.189,317.05,0.1,9
1762639842258.886,GPS,33.008,-84.189,317.05,0.1,9
1762639843145.877,GPS,33.008,-84.189,317.05,0.69,9
1762639843254.664,GPS,33.008,-84.189,317.05,0.69,8
1762639844141.616,GPS,33.008,-84.189,317.05,0.44,8
1.76264E+12,GPS,33.008,-84.189,317.05,0.44,7
1762639845146.094,GPS,33.008,-84.189,317.05,0.47,7
1762639845262.796,GPS,33.008,-84.189,317.05,0.47,8
1762639846146.981,GPS,33.008,-84.189,317.05,0.21,8
1762639846263.275,GPS,33.008,-84.189,317.05,0.21,9
1762639847146.402,GPS,33.008,-84.189,317.05,0.34,9
1762639847261.055,GPS,33.008,-84.189,317.05,0.34,8
1.76264E+12,GPS,33.008,-84.189,317.05,0.23,8
1762639848264.536,GPS,33.008,-84.189,317.05,0.23,8
1762639849144.856,GPS,33.008,-84.189,317.05,0.43,8
1762639849249.136,GPS,33.008,-84.189,317.05,0.43,7
1762639850146.238,GPS,33.008,-84.189,317.05,0.03,7
1762639850263.376,GPS,33.008,-84.189,317.05,0.03,9
1762639851148.574,GPS,33.008,-84.189,317.05,0.21,9
1762639851266.368,GPS,33.008,-84.189,317.05,0.21,8
1762639852152.533,GPS,33.008,-84.189,317.05,0.46,8
1762639852254.806,GPS,33.008,-84.189,317.05,0.46,7
1762639853134.184,GPS,33.008,-84.189,317.05,0.57,7
1762639853251.765,GPS,33.008,-84.189,317.05,0.57,5
1762639854151.805,GPS,33.008,-84.189,317.05,0.63,5
1762639854269.807,GPS,33.008,-84.189,317.05,0.63,8
1762639855152.336,GPS,33.008,-84.189,317.05,0.4,8
1762639855256.316,GPS,33.008,-84.189,317.05,0.4,8
1762639856137.827,GPS,33.008,-84.189,317.05,0.14,8
1762639856252.453,GPS,33.008,-84.189,317.05,0.14,7
1762639857141.502,GPS,33.008,-84.189,317.05,0.4,7
1762639857256.335,GPS,33.008,-84.189,317.05,0.4,7
1762639858140.484,GPS,33.008,-84.189,317.05,0.06,7
1762639858257.491,GPS,33.008,-84.189,317.05,0.06,7
1762639859263.522,GPS,33.008,-84.189,317.05,0.07,7
1.76264E+12,GPS,33.008,-84.189,317.05,0.07,9
1762639860146.223,GPS,33.008,-84.189,317.05,0.13,9
