Time	source	RPM	VSS	Gear	STR	TPS	CLT1	CLT2	OilTemp	MAP	MAT	FuelPres	OilPres	AFR	BatV	AccelZ	AccelX	AccelY	FR_Shock	FL_Shock	RR_Shock	RL_Shock	expectVss
s																							
1762640396288.000	10000000	9310.000	16.800	2.000	-37.100	33.000	185.600	182.600	173.900	55.500	115.200	43.500	18.800	12.200	12.800	0.568	-1.344	-0.315	27.341	39.449	20.084	37.998	25.861
1762640396288.000	10000000	9310.000	16.800	2.000	-37.100	33.000	185.600	182.600	173.900	55.500	115.200	43.500	18.800	12.200	12.800	0.568	-1.344	-0.315	27.329	39.548	19.948	37.898	25.861
1762640396288.000	10000000	9310.000	16.800	2.000	-37.100	33.000	185.600	182.600	173.900	55.500	115.200	43.500	18.800	12.200	12.800	0.568	-1.344	-0.315	27.391	39.635	20.047	37.799	25.861
1762640396288.000	10000000	9310.000	16.800	2.000	-37.100	33.000	185.600	182.600	173.900	55.500	115.200	43.500	18.800	12.200	12.800	0.568	-1.344	-0.315	27.428	39.685	19.997	37.551	25.861
1762640396288.000	10000000	9310.000	16.800	2.000	-37.100	33.000	185.600	182.600	173.900	55.500	115.200	43.500	18.800	12.200	12.800	1.116	-2.293	-0.666	27.416	39.846	19.973	37.390	25.861
1762640396288.000	10000000	9310.000	16.800	2.000	-37.100	33.000	185.600	182.600	173.900	55.500	115.200	43.500	18.800	12.200	12.800	1.116	-2.293	-0.666	27.428	39.834	19.997	36.993	25.861
1762640396288.000	10000000	9310.000	16.800	2.000	-37.100	33.000	185.600	182.600	173.900	55.500	115.200	43.500	18.800	12.200	12.800	1.116	-2.293	-0.666	27.391	39.809	19.960	36.621	25.861
1762640396288.000	10000000	9310.000	16.800	2.000	-37.100	33.000	185.600	182.600	173.900	55.500	115.200	43.500	18.800	12.200	12.800	1.116	-2.293	-0.666	27.354	39.908	20.097	36.162	25.861
1762640396288.000	10000000	9336.000	16.800	2.000	-36.700	33.000	185.600	182.600	174.100	56.300	115.200	42.300	18.900	13.700	12.800	1.116	-2.293	-0.666	27.205	39.586	18.583	34.437	25.933
1762640003072.000	10000000	9336.000	16.800	2.000	-36.700	33.000	185.600	182.600	174.100	56.300	115.200	42.300	18.900	13.700	12.800	1.116	-2.293	-0.666	27.106	39.598	17.913	34.276	25.933
1762640396288.000	10000000	9336.000	16.800	2.000	-36.700	33.000	185.600	182.600	174.100	56.300	115.200	42.300	18.900	13.700	12.800	1.116	-2.293	-0.666	26.932	39.561	17.764	34.276	25.933
1762640396288.000	10000000	9286.000	16.800	2.000	-36.700	38.900	185.600	182.600	174.100	56.300	115.200	42.300	18.900	13.700	12.800	1.116	-2.293	-0.666	27.131	39.536	17.591	34.276	25.794
1762640396288.000	10000000	9286.000	16.800	2.000	-36.700	38.900	185.600	182.600	174.100	56.300	115.200	42.300	18.900	13.700	12.800	1.116	-2.293	-0.666	27.155	39.648	17.566	34.462	25.794
1762640396288.000	10000000	9286.000	16.800	2.000	-36.700	38.900	185.600	182.600	174.100	56.300	115.200	42.300	18.900	13.700	12.800	1.116	-2.293	-0.666	27.118	39.623	17.380	34.623	25.794
